xc(um),yc(um),zc(um),radius(um),matid
0.29,0.29,0,0.10439999999999999,96
0.29,0.8699999999999999,0,0.10439999999999999,97
0.29,1.45,0,0.10439999999999999,98
0.29,2.03,0,0.10439999999999999,99
0.29,2.61,0,0.10439999999999999,100
0.29,3.7699999999999996,0,0.10439999999999999,101
0.29,4.35,0,0.10439999999999999,102
0.29,4.93,0,0.10439999999999999,103
0.29,5.51,0,0.10439999999999999,104
0.29,6.09,0,0.10439999999999999,105
0.8699999999999999,0.29,0,0.10439999999999999,106
1.4499999999999997,0.29,0,0.10439999999999999,107
2.03,0.29,0,0.10439999999999999,108
2.6099999999999994,0.29,0,0.10439999999999999,109
3.1899999999999995,0.29,0,0.10439999999999999,110
0.8699999999999999,0.8699999999999999,0,0.10439999999999999,111
1.4499999999999997,0.8699999999999999,0,0.10439999999999999,112
2.03,0.8699999999999999,0,0.10439999999999999,113
2.6099999999999994,0.8699999999999999,0,0.10439999999999999,114
3.1899999999999995,0.8699999999999999,0,0.10439999999999999,115
0.8699999999999999,1.45,0,0.10439999999999999,116
1.4499999999999997,1.45,0,0.10439999999999999,117
2.03,1.45,0,0.10439999999999999,118
2.6099999999999994,1.45,0,0.10439999999999999,119
3.1899999999999995,1.45,0,0.10439999999999999,120
0.8699999999999999,2.03,0,0.10439999999999999,121
1.4499999999999997,2.03,0,0.10439999999999999,122
2.03,2.03,0,0.10439999999999999,123
2.6099999999999994,2.03,0,0.10439999999999999,124
3.1899999999999995,2.03,0,0.10439999999999999,125
0.8699999999999999,2.61,0,0.10439999999999999,126
1.4499999999999997,2.61,0,0.10439999999999999,127
2.03,2.61,0,0.10439999999999999,128
2.6099999999999994,2.61,0,0.10439999999999999,129
3.1899999999999995,2.61,0,0.10439999999999999,130
0.8699999999999999,3.7699999999999996,0,0.10439999999999999,131
1.4499999999999997,3.7699999999999996,0,0.10439999999999999,132
2.03,3.7699999999999996,0,0.10439999999999999,133
2.6099999999999994,3.7699999999999996,0,0.10439999999999999,134
3.1899999999999995,3.7699999999999996,0,0.10439999999999999,135
